2020.06.15 14:35:29 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2020.06.15 14:35:29 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2020.06.15 14:35:29 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2020.06.15 14:35:29 INFO  web[][o.s.s.r.RegisterRules] Register rules
2020.06.15 14:35:35 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2020.06.15 14:35:37 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2020.06.15 14:35:37 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@43ef0be9 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@7492dc14 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@33d875f8 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@52833983 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@24122a71 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@46233475 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@82cda75 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2020.06.15 14:35:37 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2020.06.15 14:35:37 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2020.06.15 14:35:37 INFO  web[][o.s.s.p.Platform] WebServer is operational
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.4.0.15306 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'cssfamily' version : 1.2.0.1325 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.5.1.1831 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.6.0.719 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.0.2.475 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'java' version : 6.1.0.20866 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 6.2.0.12043 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 1.5.0.315 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.3.0.5166 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'python' version : 2.5.0.5733 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.5.0.315 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'scmgit' version : 1.9.1.1834 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'scmsvn' version : 1.9.0.1295 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.5.0.315 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'typescript' version : 2.1.0.4359 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.4.0.15306 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.2.0.2082 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.0.1.2020 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 8.4.0.15306 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'cssfamily' version : 1.2.0.1325 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'flex' version : 2.5.1.1831 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'go' version : 1.6.0.719 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'jacoco' version : 1.0.2.475 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'java' version : 6.1.0.20866 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 6.2.0.12043 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'kotlin' version : 1.5.0.315 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'php' version : 3.3.0.5166 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'python' version : 2.5.0.5733 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'ruby' version : 1.5.0.315 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'scmgit' version : 1.9.1.1834 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'scmsvn' version : 1.9.0.1295 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'sonarscala' version : 1.5.0.315 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'typescript' version : 2.1.0.4359 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'vbnet' version : 8.4.0.15306 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'web' version : 3.2.0.2082 has not been found on the update center.
2020.06.15 14:37:54 INFO  web[AXK5DTwCaSyCPyS9AABS][o.s.u.c.UpdateCenter] The plugin 'xml' version : 2.0.1.2020 has not been found on the update center.
